N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PERROE,토론실
104,한화시스템,"16,160",50,-0.31%,"5,000","30,529","188,919",4.73,"1,071,909",11.77,-3.63,
105,HD현대일렉트릭,"83,600",300,-0.36%,"5,000","30,135","36,047",20.52,"83,927",18.10,22.13,
106,쌍용C&E,"6,000",20,+0.33%,100,"29,922","498,697",2.19,"103,580",12.99,7.87,
107,롯데지주,"28,200",200,+0.71%,200,"29,584","104,909",7.06,"21,819",-121.55,2.42,
108,CJ,"99,700","5,700",+6.06%,"5,000","29,089","29,177",11.26,"182,013",39.98,3.94,
109,LS,"89,100","1,400",+1.60%,"5,000","28,690","32,200",12.05,"157,237",8.63,12.00,
110,KODEX 종합채권(AA-이상)액티브,"107,305",25,-0.02%,0,"28,308","26,381",0.00,"1,961",N/A,N/A,
111,현대해상,"31,450",350,+1.13%,500,"28,116","89,400",36.70,"96,355",3.83,12.44,
112,CJ대한통운,"118,400","5,600",+4.96%,"5,000","27,010","22,812",13.08,"108,509",14.42,5.09,
113,DB하이텍,"59,400",100,-0.17%,"5,000","26,373","44,399",20.24,"193,475",9.53,40.73,
114,TIGER 200,"33,520",270,-0.80%,0,"25,978","77,500",7.19,"319,810",N/A,N/A,
115,현대차우,"107,700",100,+0.09%,"5,000","25,970","24,113",61.38,"14,061",2.59,N/A,
116,GS리테일,"24,500","1,200",+5.15%,"1,000","25,656","104,718",7.46,"159,377",33.06,1.00,
117,호텔신라,"64,700",200,-0.31%,"5,000","25,394","39,248",17.69,"98,552",62.69,-8.99,
118,농심,"408,000","1,500",+0.37%,"5,000","24,817","6,083",18.57,"9,694",14.07,5.17,
119,팬오션,"4,640",80,-1.69%,"1,000","24,804","534,570",13.35,"2,415,968",7.04,16.74,
120,TIGER 미국나스닥100,"92,730",250,-0.27%,0,"24,759","26,700",0.01,"72,402",N/A,N/A,
121,BGF리테일,"142,200","6,700",+4.94%,"1,000","24,578","17,284",32.10,"40,356",12.40,21.85,
122,한미사이언스,"34,950",550,+1.60%,500,"24,450","69,957",1.88,"28,854",23.63,9.78,
123,키움증권,"92,900","1,300",+1.42%,"5,000","24,365","26,227",24.78,"30,014",3.54,11.50,
124,한화생명,"2,765",40,+1.47%,"5,000","24,015","868,530",9.27,"435,182",3.05,9.05,
125,한전기술,"62,800",300,-0.48%,200,"24,002","38,220",4.81,"29,892",61.09,3.40,
126,휠라홀딩스,"38,750",0,0.00%,"1,000","23,541","60,752",43.67,"31,685",10.94,19.71,
127,제일기획,"20,200",50,-0.25%,200,"23,238","115,041",26.21,"45,280",11.95,16.64,
128,한솔케미칼,"205,000","1,000",+0.49%,"5,000","23,237","11,335",34.82,"31,086",19.20,21.36,
129,BNK금융지주,"7,140",10,+0.14%,"5,000","22,997","322,088",33.95,"147,383",3.30,8.43,
130,아모레G,"27,750",400,+1.46%,500,"22,882","82,458",10.05,"72,505",27.95,1.87,
131,LG화학우,"297,000","1,000",-0.34%,"5,000","22,836","7,689",55.80,"14,988",17.85,N/A,
132,한국가스공사,"24,700",50,+0.20%,"5,000","22,801","92,313",5.38,"52,965",2.88,15.67,
133,에스원,"59,300",800,+1.37%,500,"22,534","37,999",54.41,"10,372",14.11,10.19,
134,씨에스윈드,"53,100",300,+0.57%,500,"22,393","42,171",11.60,"55,216",56.31,-0.11,
135,LS ELECTRIC,"73,800","1,000",-1.34%,"5,000","22,140","30,000",17.08,"109,577",12.28,5.95,
136,LIG넥스원,"99,800",300,-0.30%,"5,000","21,956","22,000",14.07,"80,623",25.32,14.48,
137,롯데쇼핑,"76,800",100,-0.13%,"5,000","21,726","28,289",8.53,"7,972",-31.24,-3.30,
138,이마트,"75,000",100,+0.13%,"5,000","20,907","27,876",24.32,"28,497",15.21,9.59,
139,TIGER 미국S&P500,"14,990",5,+0.03%,0,"20,889","139,350",0.00,"373,666",N/A,N/A,
140,한국앤컴퍼니,"21,850","5,030",+29.90%,500,"20,743","94,935",10.37,"5,672,601",19.05,4.37,
141,롯데에너지머티리얼즈,"44,400",900,-1.99%,500,"20,473","46,111",8.43,"88,224",-56.70,3.58,
142,영원무역,"46,200",300,+0.65%,500,"20,472","44,311",28.74,"34,663",3.27,26.80,
143,JB금융지주,"10,210",140,-1.35%,"5,000","20,112","196,983",33.92,"214,011",3.31,13.76,
144,KODEX 200TR,"11,470",90,-0.78%,0,"20,009","174,450",0.00,"16,393",N/A,N/A,
145,TIGER 차이나전기차SOLACTIVE,"7,735",5,-0.06%,0,"19,724","255,000",0.67,"1,122,905",N/A,N/A,
146,한화,"26,050",700,+2.76%,"5,000","19,527","74,959",13.62,"204,259",4.44,24.47,
147,KODEX 레버리지,"16,040",250,-1.53%,0,"19,513","121,650",1.35,"8,170,215",N/A,N/A,
148,OCI홀딩스,"97,200",100,+0.10%,"5,000","19,258","19,813",19.59,"19,320",1.88,25.21,
149,한올바이오파마,"36,650",550,+1.52%,500,"19,146","52,241",6.84,"517,735",315.95,0.15,
150,KODEX 24-12 은행채(AA+이상)액티브,"10,100",0,0.00%,0,"19,051","188,620",0.00,"51,820",N/A,N/A,
151,KCC,"214,500","4,500",+2.14%,"5,000","19,061","8,886",12.16,"15,185",7.01,0.67,
152,동서,"18,750",40,-0.21%,500,"18,694","99,700",3.66,"26,057",9.43,11.33,
153,대우건설,"4,475",65,-1.43%,"5,000","18,599","415,623",12.73,"365,696",3.61,14.55,
154,효성중공업,"196,000","5,500",-2.73%,"5,000","18,276","9,325",11.30,"39,931",20.75,1.07,
155,삼아알미늄,"123,100","1,600",+1.32%,500,"18,110","14,712",39.64,"67,942",227.12,13.24,
156,현대엘리베이,"45,550",450,+1.00%,"5,000","17,807","39,092",25.63,"50,790",5.12,6.89,
157,효성첨단소재,"381,500",500,+0.13%,"5,000","17,091","4,480",7.19,"5,485",34.11,19.11,
158,이수페타시스,"26,950","1,050",-3.75%,"1,000","17,045","63,246",9.22,"1,031,874",27.70,58.92,
159,신세계,"173,000",100,-0.06%,"5,000","17,032","9,845",15.00,"8,445",4.58,10.34,
160,HL만도,"35,350",100,+0.28%,"1,000","16,599","46,957",25.40,"54,693",465.13,4.78,
161,효성티앤씨,"382,500","4,500",+1.19%,"5,000","16,553","4,328",10.01,"8,420",22.45,0.88,
162,현대위아,"60,100",200,-0.33%,"5,000","16,344","27,195",12.77,"24,072",-13.79,1.99,
163,하이트진로,"22,950",200,+0.88%,"5,000","16,096","70,134",10.05,"76,134",94.44,7.72,
164,삼양식품,"213,500","2,000",+0.95%,"5,000","16,083","7,533",11.82,"14,004",16.55,18.92,
165,TIGER 미국테크TOP10 INDXX,"14,295",145,-1.00%,0,"16,018","112,050",0.05,"372,961",N/A,N/A,
166,한전KPS,"35,300",400,+1.15%,200,"15,885","45,000",9.55,"80,091",10.78,8.61,
167,종근당,"125,800","4,300",+3.54%,"2,500","15,811","12,568",11.26,"140,432",11.62,13.62,
168,금호타이어,"5,480",120,+2.24%,"5,000","15,742","287,260",5.29,"295,927",25.37,-6.87,
169,에스디바이오센서,"12,620",620,+5.17%,500,"15,709","124,477",6.43,"825,266",-1.96,35.30,
170,동원산업,"33,300",100,+0.30%,"1,000","15,479","46,483",1.64,"19,268",7.66,8.53,
171,오뚜기,"383,500","1,500",+0.39%,"5,000","15,370","4,008",9.15,"2,126",5.14,16.53,
172,HD현대인프라코어,"7,640",70,-0.91%,"1,000","15,250","199,603",16.34,"697,508",4.94,15.29,
173,롯데정밀화학,"59,000",100,+0.17%,"5,000","15,222","25,800",20.83,"154,695",6.42,6.51,
174,KODEX 200선물인버스2X,"2,595",45,+1.76%,0,"15,217","586,400",0.38,"64,572,091",N/A,N/A,
175,KG모빌리티,"8,020",30,+0.38%,"5,000","14,994","186,956",25.94,"189,554",36.62,-12.10,
176,대한전선,"12,030",100,-0.82%,"1,000","14,971","124,447",4.17,"150,522",32.87,3.32,
177,TIGER 미국필라델피아반도체나스닥,"12,840",70,-0.54%,0,"14,946","116,400",0.39,"303,258",N/A,N/A,
178,DL이앤씨,"38,600",50,+0.13%,"5,000","14,936","38,694",26.78,"19,481",7.17,9.70,
179,KBSTAR 머니마켓액티브,"51,230",5,-0.01%,0,"14,862","29,010",0.01,"10,926",N/A,N/A,
180,두산,"89,900",700,+0.78%,"5,000","14,855","16,524",10.24,"52,045",-2.81,-36.00,
181,효성,"69,600",500,+0.72%,"5,000","14,665","21,071",5.63,"18,839",-133.08,0.60,
182,두산퓨얼셀,"22,350",350,-1.54%,100,"14,638","65,494",11.81,"185,284",286.54,0.74,
183,SK가스,"156,900",800,+0.51%,"5,000","14,482","9,230",7.04,"1,906",3.42,11.53,
184,에스엘,"30,950",100,+0.32%,500,"14,376","46,449",15.55,"30,146",5.28,9.87,
185,TIGER TOP10,"10,860",140,-1.27%,0,"14,346","132,100",2.69,"31,037",N/A,N/A,
186,DGB금융지주,"8,480",20,+0.24%,"5,000","14,344","169,146",45.53,"86,816",3.32,7.38,
187,TCC스틸,"54,400","1,500",+2.84%,"1,000","14,260","26,214",6.62,"172,375",-449.59,16.54,
188,녹십자,"122,000","6,200",+5.35%,"5,000","14,258","11,687",17.90,"65,602",767.30,5.03,
189,코스모화학,"36,500",800,-2.14%,"1,000","14,019","38,408",5.31,"86,927",-96.05,6.13,
190,롯데칠성,"150,400","2,700",+1.83%,500,"13,955","9,279",10.91,"8,437",11.28,9.11,
191,GS건설,"16,140",100,-0.62%,"5,000","13,813","85,581",18.90,"259,277",-5.49,7.18,
192,코스맥스,"121,500","4,300",+3.67%,500,"13,790","11,350",28.75,"95,868",39.23,3.65,
193,덴티움,"124,300","1,200",+0.97%,500,"13,759","11,069",18.57,"28,890",19.04,25.86,
194,LX세미콘,"83,800","1,300",-1.53%,500,"13,629","16,264",26.98,"36,871",20.46,26.70,
195,솔루엠,"27,150",350,+1.31%,500,"13,576","50,006",18.95,"123,303",11.37,16.93,
196,SK네트웍스,"5,670",40,-0.70%,"2,500","13,369","235,778",10.80,"154,741",26.50,3.88,
197,대덕전자,"26,150",350,-1.32%,500,"12,923","49,417",9.09,"218,729",32.48,23.94,
198,TIGER 2차전지테마,"27,050",15,-0.06%,0,"12,903","47,700",0.38,"597,992",N/A,N/A,
199,KBSTAR 200,"33,705",255,-0.75%,0,"12,690","37,650",0.01,"103,408",N/A,N/A,
200,한샘,"53,800","3,800",+7.60%,"1,000","12,661","23,534",13.58,"24,444",-11.53,-13.37,
